StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q24,Q3,Q4,Q12,Q20,Q23,Q21,Q13
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"What is your study participant ID (e.g., P0145)? You can find this information in your participant portfolio.",What are the last 4 digits of the phone number used to enroll in this study?,Did you attend your classes today?,"Did you study (e.g., review course notes, read text book, work on assignments) today?",Who did you interact with today?,"Did you attend any social events (any gathering of at least 5 people) (e.g., organizations and clubs, hanging out with friends) at USF today?","Did you attend any social events (any gathering of at least 5 people) (e.g., organizations and clubs, hanging out with friends) not at USF today?",Did you exercise today?,"How do you feel overall about the interactions you had with others today? ""Most of my interactions today were"""
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID12""}","{""ImportId"":""QID20""}","{""ImportId"":""QID23""}","{""ImportId"":""QID21""}","{""ImportId"":""QID13""}"
4/24/2023 23:37,4/24/2023 23:38,IP Address,100,59,TRUE,"Monday, April 24, 2023",R_3lVJHDXtrYK8Zf7,anonymous,EN,P0003,,I didn't have any classes today,"No, there isn't anything I need to study today","Friends (at USF),Friends (not at USF),Family,Significant Other,USF Staff/Faculty","No, and likely won't later either","No, and likely won't later either","No, and likely won't later either",relaxing and calm
4/25/2023 22:31,4/25/2023 22:32,IP Address,100,39,TRUE,"Tuesday, April 25, 2023",R_82PlH1qKLhe82WJ,anonymous,EN,P0003,,I didn't have any classes today,Yes,"Friends (at USF),Friends (not at USF),Family,Significant Other,USF Staff/Faculty",Yes,"No, and likely won't later either",Yes,relaxing and calm
4/26/2023 23:01,4/26/2023 23:02,IP Address,100,69,TRUE,"Wednesday, April 26, 2023",R_2UXVtaDXHlSQPLS,anonymous,EN,P0003,,I didn't have any classes today,"No, there isn't anything I need to study today","Friends (at USF),Friends (not at USF),Family,Significant Other,USF Staff/Faculty","No, and likely won't later either","No, and likely won't later either","No, and likely won't later either",relaxing and calm
4/29/2023 0:30,4/29/2023 0:31,IP Address,100,29,TRUE,"Saturday, April 29, 2023",R_1oooupFawXlhqlE,anonymous,EN,P0003,,I didn't have any classes today,"No, there isn't anything I need to study today","Friends (at USF),Friends (not at USF),Family,Significant Other","No, and likely won't later either","No, and likely won't later either","No, and likely won't later either",relaxing and calm
5/3/2023 0:15,5/3/2023 0:15,IP Address,100,30,TRUE,"Wednesday, May 3, 2023",R_3syKfoNgIgOKmTf,anonymous,EN,P0003,,I didn't have any classes today,"No, there isn't anything I need to study today","Friends (at USF),Friends (not at USF),Family,Significant Other,USF Staff/Faculty","No, and likely won't later either","No, and likely won't later either",Yes,relaxing and calm
5/4/2023 23:57,5/4/2023 23:57,IP Address,100,23,TRUE,"Thursday, May 4, 2023",R_3KOUdgyptbpiyeS,anonymous,EN,P0003,,I didn't have any classes today,"No, there isn't anything I need to study today","Friends (at USF),Friends (not at USF),Family,Significant Other,USF Staff/Faculty","No, and likely won't later either","No, and likely won't later either",Yes,relaxing and calm
5/8/2023 20:07,5/8/2023 20:09,IP Address,100,113,TRUE,"Monday, May 8, 2023",R_1pSb3dZFlwilnS3,anonymous,EN,P0016,,I didn't have any classes today,"No, there isn't anything I need to study today","Family,Significant Other","No, and likely won't later either","No, but I plan to later","No, and likely won't later either",frustrating and stressful
5/8/2023 21:23,5/8/2023 21:24,IP Address,100,65,TRUE,"Monday, May 8, 2023",R_2tilCfXMKS4H3dj,anonymous,EN,P0018,,I didn't have any classes today,"No, there isn't anything I need to study today","Friends (not at USF),Significant Other,USF Staff/Faculty,Other (at USF)","No, but I plan to later","No, and likely won't later either","No, but I plan to later","exciting, delightful, and joyful"
