StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q31,Q21,Q22,Q22_8_TEXT,Q23,Q26,Q14,Q7,Q7_9_TEXT,Q27_1,Q27_2,Q27_3,Q19_1_x,Q19_1_y
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"What is your study participant ID (e.g., P0145)? You can find this information in your participant portfolio.",What are the last 4 digits of the phone number used to enroll in this study?,Are you currently on or off campus?,Are you at any of the following locations? - Selected Choice,Are you at any of the following locations? - Other (please describe in 5 words or less) - Text,Where are you on campus? (Indicate the location nearest to you),Is [QID23-ChoiceGroup-SelectedChoices] your on-campus residence hall?,"What have you spent most of your time doing since you submitted your last hourly report? (provide your response in 5 words or less, e.g., ""watching tv"")",Which of the following communication platforms have you used since you submitted your last hourly report? (select all that apply) - Selected Choice,Which of the following communication platforms have you used since you submitted your last hourly report? (select all that apply) - Other (Provide the name of the platform) - Text,"How are you doing right now? - Right now, I would rate my emotional state as...","How are you doing right now? - Right now, I would rate my physical state as...","How are you doing right now? - Right now, I would rate my mental health as...",Click the image to place a dot on the area of the image that best describes how you're feeling right now overall. - 1 - X,Click the image to place a dot on the area of the image that best describes how you're feeling right now overall. - 1 - Y
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_8_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID26""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_9_TEXT""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID27_3""}","{""ImportId"":""QID19"",""point"":1,""coord"":""x""}","{""ImportId"":""QID19"",""point"":1,""coord"":""y""}"
2023-04-24 14:00:03,2023-04-24 14:02:08,IP Address,100,125,True,2023-04-24 14:02:09,R_1qgGGgGFfMR0bjb,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,Laboratory work,"Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,3,4.1,3,454,670
2023-04-24 16:02:33,2023-04-24 16:03:54,IP Address,100,81,True,2023-04-24 16:03:54,R_2QYAd7aeYfyZjzW,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,Laboratory work,"Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,5,4,5,675,445
2023-04-24 18:07:17,2023-04-24 18:08:53,IP Address,100,95,True,2023-04-24 18:08:53,R_1BRar5AoT1jjXky,anonymous,EN,"P0003",,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage,Phone Call / FaceTime / Google Duo",,5,5,4,592,593
2023-04-24 20:15:49,2023-04-24 20:16:35,IP Address,100,46,True,2023-04-24 20:16:36,R_2DUgrSHh9iYCe93,anonymous,EN,"P0003",,Off campus,Home,,,,"Laboratory work, driving ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,5,5,5,671,454
2023-04-25 10:11:49,2023-04-25 10:13:15,IP Address,100,85,True,2023-04-25 10:13:15,R_3haNRmvIkzcX8NB,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Eating, laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,4,4,463,545
2023-04-25 13:45:43,2023-04-25 13:46:49,IP Address,100,65,True,2023-04-25 13:46:50,R_3gSFC47KL5R5zEv,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,4,4,669,437
2023-04-25 14:00:35,2023-04-25 14:02:01,IP Address,100,86,True,2023-04-25 14:02:03,R_3hbzC5FV1uFw8xT,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,4,4,688,435
2023-04-25 16:11:30,2023-04-25 16:12:19,IP Address,100,49,True,2023-04-25 16:12:20,R_pbHHhy8QqEBaDXr,anonymous,EN,"P0003",,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,4,4,669,441
