StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q20,Q3,Q4,Q12,Q19,Q15,Q10_1,Q18
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"What is your study participant ID (e.g., P0145)? You can find this information in your participant portfolio.",What are the last 4 digits of the phone number used to enroll in this study?,Do you plan to attend your classes today?,Do you plan to study today?,"Are you looking forward to interacting with others who you know through your time at USF (e.g. Resident Assistant, Classmate, Professor, Friend, etc) today?","Are you looking forward to interacting with others who you know outside of USF (e.g. friends from home, family member, off campus spiritual or religious leader, etc.) today?",Are you looking forward to attending any social events (any gathering of at least 5 people) today?,How many hours did you sleep last night? - Number of Hours,How would you rate your quality of sleep last night (0 = Very Bad; 10 = Excellent)?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID12""}","{""ImportId"":""QID19""}","{""ImportId"":""QID15""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID18""}"
4/24/2023 13:04,4/24/2023 13:05,IP Address,100,50,TRUE,"Monday, April 24, 2023",R_9zDK3lPco33AkuZ,anonymous,EN,P0003,,I don't have any classes today,Probably not,Yes,Yes,"No, I'm not aware of any social events for today",7,5
4/25/2023 8:22,4/25/2023 8:23,IP Address,100,46,TRUE,"Tuesday, April 25, 2023",R_1n2E6OTzTMHPjLW,anonymous,EN,P0003,,I don't have any classes today,Probably yes,Yes,Yes,Yes (hosted by entity of USF),5,3
4/26/2023 7:28,4/26/2023 7:28,IP Address,100,36,TRUE,"Wednesday, April 26, 2023",R_2U2Uiil9Ia9lIub,anonymous,EN,P0003,,I don't have any classes today,Probably not,Yes,Yes,"No, I'm not aware of any social events for today",9,6
4/27/2023 8:00,4/27/2023 8:01,IP Address,100,36,TRUE,"Thursday, April 27, 2023",R_9GlO7KrQ45Xq2Kl,anonymous,EN,P0003,,I don't have any classes today,Definitely not,Yes,Yes,"No, I'm not aware of any social events for today",7,5
4/28/2023 8:15,4/28/2023 8:16,IP Address,100,41,TRUE,"Friday, April 28, 2023",R_2qkOliOf36m91QZ,anonymous,EN,P0003,,I don't have any classes today,Definitely not,Yes,Yes,"No, I'm not aware of any social events for today",9,5
5/1/2023 8:01,5/1/2023 8:01,IP Address,100,34,TRUE,"Monday, May 1, 2023",R_3rZoucco2ctQjQQ,anonymous,EN,P0003,,I don't have any classes today,Definitely not,Yes,Yes,"No, I'm not aware of any social events for today",7,7
5/2/2023 8:25,5/2/2023 8:26,IP Address,100,29,TRUE,"Tuesday, May 2, 2023",R_qI2UurIilWvd0Nr,anonymous,EN,P0003,,I don't have any classes today,Definitely not,Yes,Yes,"No, I'm not aware of any social events for today",7,6
5/3/2023 8:15,5/3/2023 8:16,IP Address,100,26,TRUE,"Wednesday, May 3, 2023",R_YXG9jFAB1lGgAff,anonymous,EN,P0003,,I don't have any classes today,Definitely not,Yes,Yes,"No, I'm not aware of any social events for today",7,7
5/4/2023 8:10,5/4/2023 8:10,IP Address,100,20,TRUE,"Thursday, May 4, 2023",R_2v1HfImdt8zffHy,anonymous,EN,P0003,,I don't have any classes today,Definitely not,Yes,Yes,"No, I'm not aware of any social events for today",7,7
5/5/2023 8:35,5/5/2023 8:36,IP Address,100,26,TRUE,"Friday, May 5, 2023",R_82ZGJr2XThdJwqJ,anonymous,EN,P0003,,I don't have any classes today,Definitely not,Yes,Yes,"No, I'm not aware of any social events for today",5,5
5/8/2023 8:10,5/8/2023 8:10,IP Address,100,23,TRUE,"Monday, May 8, 2023",R_2TLz2dS9Kd3pkE4,anonymous,EN,P0003,,I don't have any classes today,Definitely not,Yes,Yes,"No, I'm not aware of any social events for today",6,6
